year,through_month,role,name,inside_personal,npw,npe,loss_ratio,expense_ratio,combined_ratio
2010,4,agency,Agency,,2704.0,2542.1,,,
2010,4,direct,Direct,,1992.9,1816.0,,,
2010,4,personal_total,Total,,4696.9,4358.1,,,
2010,4,commercial,Business,,552.5,511.5,,,
2010,4,other,Businesses,,1.8,6.0,,,
2010,4,companywide,Total,,5251.2,4875.6,,,
2010,8,agency,Agency,,5200.6,4972.3,,,
2010,8,direct,Direct,,3823.5,3597.1,,,
2010,8,personal_total,Total,,9024.1,8569.4,,,
2010,8,commercial,Business,,1026.0,997.1,,,
2010,8,other,Businesses,,2.9,10.5,,,
2010,8,companywide,Total,,10053.0,9577.0,,,
2010,9,agency,Agency,,5791.6,5550.4,,,
2010,9,direct,Direct,,4272.6,4019.0,,,
2010,9,personal_total,Total,,10064.2,9569.4,,,
2010,9,commercial,Business,,1133.7,1110.4,,,
2010,9,other,Businesses,,2.9,11.4,,,
2010,9,companywide,Total,,11200.8,10691.2,,,
2010,10,agency,Agency,,6485.6,6270.5,,,
2010,10,direct,Direct,,4780.9,4551.0,,,
2010,10,personal_total,Total,,11266.5,10821.5,,,
2010,10,commercial,Business,,1266.6,1251.3,,,
2010,10,other,Businesses,,2.9,12.4,,,
2010,10,companywide,Total,,12536.0,12085.2,,,
2011,8,agency,Agency,,5311.7,5116.2,,,
2011,8,direct,Direct,,4075.5,3880.3,,,
2011,8,personal_total,Total,,9387.2,8996.5,,,
2011,8,commercial,Business,,1052.2,972.7,,,
2011,8,other,Businesses,,0.1,3.7,,,
2011,8,companywide,Total,,10439.5,9972.9,,,
2011,11,agency,Agency,,7187.5,7034.8,,,
2011,11,direct,Direct,,5513.8,5348.9,,,
2011,11,personal_total,Total,,12701.3,12383.7,,,
2011,11,commercial,Business,,1433.7,1350.0,,,
2011,11,other,Businesses,,0.1,4.4,,,
2011,11,companywide,Total,,14135.1,13738.1,,,
2012,3,agency,Agency,,2076.5,1960.6,,,
2012,3,direct,Direct,,1656.5,1513.2,,,
2012,3,personal_total,Total,,3733.0,3473.8,,,
2012,3,commercial,Business,,429.5,387.3,,,
2012,3,other,Businesses,,0.0,0.4,,,
2012,3,companywide,Total,,4162.5,3861.5,,,
2012,4,agency,Agency,,2919.8,2735.6,,,
2012,4,direct,Direct,,2287.8,2112.0,,,
2012,4,personal_total,Total,,5207.6,4847.6,,,
2012,4,commercial,Business,,626.9,541.5,,,
2012,4,other,Businesses,,0.0,0.6,,,
2012,4,companywide,Total,,5834.5,5389.7,,,
2012,6,agency,Agency,,4173.9,3984.6,,,
2012,6,direct,Direct,,3217.7,3077.4,,,
2012,6,personal_total,Total,,7391.6,7062.0,,,
2012,6,commercial,Business,,900.0,794.9,,,
2012,6,other,Businesses,,0.0,0.7,,,
2012,6,companywide,Total,,8291.6,7857.6,,,
2012,7,agency,Agency,,4996.4,4770.1,,,
2012,7,direct,Direct,,3868.5,3684.5,,,
2012,7,personal_total,Total,,8864.9,8454.6,,,
2012,7,commercial,Business,,1074.7,956.6,,,
2012,7,other,Businesses,,0.0,0.8,,,
2012,7,companywide,Total,,9939.6,9412.0,,,
2012,8,agency,Agency,,5640.7,5399.4,,,
2012,8,direct,Direct,,4374.9,4170.9,,,
2012,8,personal_total,Total,,10015.6,9570.3,,,
2012,8,commercial,Business,,1209.5,1087.5,,,
2012,8,other,Businesses,,0.0,0.8,,,
2012,8,companywide,Total,,11225.1,10658.6,,,
2012,9,agency,Agency,,6295.9,6032.3,,,
2012,9,direct,Direct,,4896.4,4660.1,,,
2012,9,personal_total,Total,,11192.3,10692.4,,,
2012,9,commercial,Business,,1341.1,1219.2,,,
2012,9,other,Businesses,,0.0,0.8,,,
2012,9,companywide,Total,,12533.4,11912.4,,,
2012,10,agency,Agency,,7093.9,6827.3,,,
2012,10,direct,Direct,,5504.3,5274.9,,,
2012,10,personal_total,Total,,12598.2,12102.2,,,
2012,10,commercial,Business,,1507.1,1384.6,,,
2012,10,other,Businesses,,0.0,0.8,,,
2012,10,companywide,Total,,14105.3,13487.6,,,
2012,11,agency,Agency,,7668.9,7465.3,,,
2012,11,direct,Direct,,5943.1,5768.9,,,
2012,11,personal_total,Total,,13612.0,13234.2,,,
2012,11,commercial,Business,,1623.2,1516.8,,,
2012,11,other,Businesses,,0.0,0.9,,,
2012,11,companywide,Total,,15235.2,14751.9,,,
2012,12,agency,Agency,,8247.0,8103.9,,,
2012,12,direct,Direct,,6389.8,6264.2,,,
2012,12,personal_total,Total,,14636.8,14368.1,,,
2012,12,commercial,Business,,1735.9,1649.0,,,
2012,12,other,Businesses,,0.0,0.9,,,
2012,12,companywide,Total,,16372.7,16018.0,,,
2013,2,agency,Agency,,1498.3,1450.3,,,
2013,2,direct,Direct,,1220.3,1128.4,,,
2013,2,personal_total,Total,,2718.6,2578.7,,,
2013,2,commercial,Business,,311.8,297.3,,,
2013,2,other,Businesses,,0.0,0.0,,,
2013,2,companywide,Total,,3030.4,2876.0,,,
2013,3,agency,Agency,,2202.2,2107.2,,,
2013,3,direct,Direct,,1786.3,1641.6,,,
2013,3,personal_total,Total,,3988.5,3748.8,,,
2013,3,commercial,Business,,460.9,430.4,,,
2013,3,other,Businesses,,0.0,0.1,,,
